Grid_ID,row,col,lat,lon,Distance_to_Camp_km,Treatment_Status,Land_Frac,Forest_Frac,Tree_Cover_2000_mean,N_forest_px,Cumulative_Pre_Loss_2001_2016,Loss_any_frac_of_forest,Donor_Eligible,Reject_Reason,PreTrend_RMSE,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016
G098_033,98,33,21.3135,92.2015,13.27,spillover_excluded,1.0,0.933,73.5,1209,0.0438,0.0835,,,,0.0,0.0,0.0,0.0,0.0,0.00248,0.0,0.0,0.0,0.00083,0.00414,0.00083,0.00579,0.02978,0.0,0.0
G098_034,98,34,21.3135,92.2105,13.6,spillover_excluded,1.0,0.932,67.0,1208,0.0323,0.0455,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00414,0.0,0.01821,0.00166,0.0,0.0,0.0,0.00166,0.00662
G098_035,98,35,21.3135,92.2195,13.99,spillover_excluded,1.0,0.721,49.2,934,0.0749,0.0749,,,,0.0,0.0,0.0,0.01499,0.0,0.0,0.0,0.03319,0.00107,0.0182,0.00321,0.00428,0.0,0.0,0.0,0.0
G098_036,98,36,21.3135,92.2285,14.42,spillover_excluded,1.0,0.175,10.4,227,0.022,0.022,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02203,0.0,0.0,0.0,0.0,0.0
G098_037,98,37,21.3135,92.2375,14.9,spillover_excluded,1.0,0.112,6.2,145,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G098_038,98,38,21.3135,92.2465,15.43,spillover_excluded,1.0,0.31,20.2,402,0.0149,0.0149,,,,0.0,0.01244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00249,0.0
G098_039,98,39,21.3135,92.2555,15.99,spillover_excluded,1.0,0.731,57.0,947,0.0634,0.0634,,,,0.00106,0.00106,0.0,0.0,0.0,0.0,0.0,0.04963,0.01056,0.00106,0.0,0.0,0.0,0.0,0.0,0.0
G098_040,98,40,21.3135,92.2645,16.58,spillover_excluded,1.0,0.811,61.5,1051,0.0181,0.0181,,,,0.0019,0.00095,0.00095,0.0,0.0,0.0,0.0,0.00476,0.00476,0.0,0.00095,0.00381,0.0,0.0,0.0,0.0
G098_041,98,41,21.3135,92.2735,17.21,spillover_excluded,1.0,0.985,82.6,1277,0.0008,0.0486,,,,0.0,0.0,0.0,0.0,0.00078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G098_042,98,42,21.3135,92.2825,17.86,spillover_excluded,0.998,0.47,34.7,609,0.0049,0.1544,,,,0.00328,0.0,0.0,0.00164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G098_043,98,43,21.3135,92.2915,18.54,spillover_excluded,0.995,0.466,32.4,604,0.0232,0.1772,,,,0.00166,0.0,0.0,0.0,0.00166,0.00166,0.0,0.00331,0.00497,0.0,0.0,0.00828,0.0,0.00166,0.0,0.0
G099_000,99,0,21.3045,91.9045,28.92,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_001,99,1,21.3045,91.9135,28.06,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_002,99,2,21.3045,91.9225,27.22,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_003,99,3,21.3045,91.9315,26.37,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_004,99,4,21.3045,91.9405,25.54,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
